Spanish,English,Frequency
de,of,14459520
que,what,14421005
no,no,12379505
a,a,9549646
la,the,9125471
el,the,7531226
y,Y,7128745
es,it is,6993497
en,in,6817324
lo,it,6041793
un,and,5605577
por,by,4454673
qué,what,4166708
me,me,3927712
una,a,3846322
los,the,3069193
se,with,3058120
te,the,3034375
con,with,3028045
para,for,2832100
está,it is,2433246
mi,me,2403204
pero,but,2369484
sí,Yes,2350514
si,and,2348665
bien,good,2045290
eso,it's,2029720
su,are,2005512
las,the,2001203
yo,they,1915934
del,of,1647872
como,as,1630651
aquí,here,1625090
tu,That,1618746
al,al,1549489
más,plus,1503527
le,the,1432173
esto,this,1297847
todo,all,1296897
ya,of,1115265
estoy,am,1092574
ahora,now,1088174
muy,very,1086248
ha,he has,1071928
esta,is,1051900
así,So,1050332
vamos,we will,1049315
algo,something,1039192
hay,good,1014288
bueno,Okay,1012700
tengo,I've got,954371
él,the,931487
cuando,when,931329
estás,are,917354
sé,see,911639
tú,you,906053
nos,us,866968
nada,anything,863844
cómo,What,862349
este,It is,858931
o,O,843972
he,he,820376
ser,to be,819688
tiene,have,807065
puedo,Can I,806048
ella,she,800671
quiero,I want,798831
hacer,do,794408
fue,it was,781449
gracias,Thank you,779503
vez,turn,767227
era,era,765725
soy,soy,745166
sólo,single,741588
todos,all,686692
porque,why,685059
son,son,671394
tienes,you have,670767
creo,I think,651433
voy,I go,639418
sabes,you know,636739
estaba,I was,636659
puede,can,631326
eres,are,630024
ese,that,624205
usted,you,618844
entonces,then,609938
hola,hour,601523
solo,alone,590343
verdad,TRUE,589565
casa,House,587832
tan,tan,573916
quién,who,566465
sus,their,562087
tiempo,weather,556996
dos,From,556427
esa,this,553442
nunca,Never,549997
dónde,where,539643
va,and,535397
oh,oh,532776
favor,favor,527629
mucho,much,516361
mí,my,515655
quieres,you want,515465
siento,I feel,512907
señor,mister,507728
mejor,better,500478
hace,does,495352
has,has,492533
decir,tell,492098
también,also,488057
sobre,about,478020
dios,god,476939
sin,sin,474770
tenemos,we have,473895
están,is it so,471887
ti,of,470358
puedes,you may,463318
ver,to see,462775
hombre,men,460084
vida,life,453649
alguien,someone,447141
cosas,stuff,424801
siempre,forever,424363
hasta,until,423321
ahí,there,422871
ir,and,411198
años,years,408547
antes,before,405555
estar,be,402369
ni,in,401980
poco,little bit,397739
día,day,395131
uno,one,393047
noche,night,391078
hecho,done,391011
mis,which,385798
estamos,we're,376563
otra,other,368984
acuerdo,agreement,367329
trabajo,worked,363747
nosotros,us,357836
parece,looks,355615
gente,people,354586
sea,sea,352790
padre,father,351051
mira,mira,349779
mismo,same,347834
dijo,said,342900
nadie,no one,339772
quiere,wants,332148
podría,could,329332
hablar,speak,327201
vas,your,327127
ellos,they,323892
sr.,sr.,321637
tal,turn,317926
pasa,happens,315529
fuera,outside,311571
después,after,311500
han,he,308501
desde,since,303620
dinero,money,300518
mundo,world,298208
claro,clear,296584
momento,time,294559
les,them,294439
tener,to have,292932
estado,state,292015
otro,other,290565
había,there was,289157
mañana,morning,283391
tenía,I had,282966
madre,mother,281646
vale,Valley,280447
lugar,place,280315
haciendo,making,278317
donde,where,277524
seguro,safe,277231
sabe,You know,273895
podemos,we can,272425
tus,the,271677
espera,wait,270741
nuevo,new,269895
sido,been,269505
cosa,What,269054
hijo,son,267856
allí,over there,267215
menos,any less,263837
tipo,type,262340
amigo,friend,258356
gran,great,257648
nuestro,our,254046
mujer,woman,249627
mamá,breast,247700
luego,later,245811
papá,father,243251
días,days,243003
dice,dice,240795
hoy,today,240395
tres,three,239782
buena,good,238330
necesito,needed,237654
dije,said,235936
oye,understand,234324
gusta,like,233367
quería,wanted,230602
será,it will be,230159
haber,to have,229602
parte,part,229038
todas,all,227146
crees,You believe,225748
buen,good,224802
conmigo,with me,224527
nombre,Name,222406
mierda,shit,221567
nuestra,our,221503
mal,times,220024
debe,must,218223
realmente,really,217847
estas,is,216844
aún,even,215129
mío,Own,212096
toda,all,211746
hacerlo,do it,209901
cada,each,209674
visto,view,206949
importa,it matters,203118
contigo,with you,202208
tienen,have,200708
hemos,we have,200028
razón,reason,198832
alguna,some,198263
tanto,so much,197519
saber,know,196610
hizo,Those,196192
veces,times,195756
serio,serious,194846
ven,ven,193452
idea,idea,193369
eh,Eh,193299
tarde,afternoon,191883
problema,problem,189963
hora,hour,189851
cierto,certain,189653
dicho,saying,187895
quien,who,187133
demasiado,too,182668
amor,love,182326
entre,in between,181114
ve,ve,179427
pasado,past,178763
familia,family,177748
estos,these,176532
policía,policeman,175471
debería,should,175394
ustedes,your,174241
chica,girl,173210
esos,those,171237
chicos,Boys,170008
cuenta,bill,169714
haces,you do,166985
todavía,yet,166624
salir,leave,165591
algún,some,163790
vaya,wow,162833
unos,some,162525
veo,I see,162326
amigos,friends,160684
hermano,brother,159678
pensé,think,159438
sabía,I knew,156439
cabeza,head,156069
ah,like,156002
cariño,sweetie,153353
digo,I say,153149
van,from,153024
hombres,mens,151647
buenas,good,151571
somos,are,151256
cualquier,any,150946
forma,form,150750
mientras,while,150383
lado,side,149162
debo,I shall,148975
sería,would,148309
caso,case,148273
pueden,they can,148183
pasó,I pass,145810
primera,first,145110
genial,genial,145028
chico,chico,145009
supuesto,supposed,144428
hice,I did,144174
pues,well,143870
adiós,bye,143677
muchas,many,143007
personas,people,141945
señora,Mrs,141893
volver,return,141009
esas,those,140885
quizá,Maybe,140794
contra,against,140485
camino,road,140092
durante,during,139987
hablando,talking,139007
manera,way,137722
muerto,dead,137301
persona,person,136985
rápido,fast,136953
cuál,which,136406
ayuda,aid,136155
historia,history,135924
iba,Other,135256
supongo,I guess,134885
nueva,new,134490
entiendo,I get it,134138
dentro,inside,133954
casi,almost,133614
puerta,gate,133533
ves,know,133094
pasar,market,131693
primero,first,131298
significa,means,130774
semana,week,130555
hacia,towards,130000
quizás,maybe,129544
espero,expect,129454
juntos,together,129353
año,year,128910
niños,kids,128856
pronto,ready,128135
tío,uncle,127895
suerte,luck,127246
ciudad,city,126710
siquiera,even,126506
feliz,happy,125692
venir,come,124376
hija,it,124289
gustaría,would like,124196
minutos,minute,123912
cuánto,how many,123138
os,you,122754
hey,hey,122432
muerte,death,122057
dejar,let,121779
realidad,reality,121027
deja,already,120259
problemas,problems,120138
vi,we,119856
da,and,119199
importante,important,119177
dijiste,said,119038
corazón,heart,118685
miedo,fear,118624
jefe,boss,118458
agua,Water,117654
haré,I will do,117579
justo,just,117044
horas,hours,116873
poder,can,115246
buenos,good ones,115064
esposa,wife,114925
manos,hands,114921
debes,you should,114812
viene,he comes,114395
venga,come,114109
nuestros,our,114018
ojos,eyes,113772
adelante,ahead,113192
encontrar,meet,113028
mano,thousand,112665
cinco,five,112532
niño,little boy,112512
ninguna,none,112227
otros,others,112169
cara,method,111953
cuidado,caution,111524
bajo,bass,111241
cerca,fence,110690
viejo,old,110403
déjame,let me,109679
noches,nights,109592
bastante,quite,109431
fin,end,109402
tomar,to take,109183
único,single,108435
misma,same,108033
escucha,listen,107286
ningún,none,107193
suficiente,enough,107106
punto,point,106940
cuándo,when,106920
sigue,follow,106764
haya,these,106729
equipo,equipment,106584
grande,great,106057
necesita,needs to,105889
llegar,get,105719
incluso,even,105304
algunos,Some,105052
doctor,doctor,104991
difícil,difficult,104985
aunque,though,104655
hubiera,had,104473
primer,first,104138
coche,coach,103946
hago,I make,103901
clase,class,103827
cuatro,four,103805
mas,but,103445
dices,You say,103279
pequeño,little,103016
llama,call,102848
toma,taking,102733
hiciste,did,102722
allá,there,102642
última,last,102333
arriba,up,102254
tierra,Earth,102197
guerra,war,101887
pensar,think,101695
pueda,I can,101487
igual,Same,101272
loco,place,100021
sangre,blood,99844
mujeres,women,99536
vuelta,lap,99529
fui,I went,99366
trabajar,to work,99262
tenido,Dyed,99237
juego,play,99041
deberías,you should,98960
cuerpo,Body,98410
e,and,96622
algunas,some,96075
entrar,log in,95899
cree,Believe,95859
podía,could,95527
debemos,must,95445
oportunidad,chance,95375
teléfono,telephone,95015
necesitamos,We need,94964
final,final,94883
listo,List,94769
fiesta,fiesta,94739
muchos,Many,94250
estabas,You were,94097
quieren,They want,94018
vete,self,93782
auto,auto,93654
dar,but,92706
vivir,to live,92629
posible,possible,92449
ok,ok,92398
hermana,sister,92291
número,number,92183
meses,months,92062
exactamente,exactly,91598
culpa,fault,91506
abajo,down,91298
escuela,school,90725
ido,eye,90670
fuerte,strong,90226
diciendo,saying,90048
habla,speech,90023
esté,East,89826
ello,it,89741
pregunta,Question,89617
chicas,girls,89467
eran,were,89418
unas,nail,89043
pasando,going,88887
atrás,back,88877
malo,room,88555
capitán,captain,88550
sra.,sra.,88400
bebé,baby,88307
segundo,second,88232
sabemos,we know,87714
mayor,mayor,87707
comida,food,87661
morir,To die,87614
conozco,know,87429
dame,dame,87200
fácil,easy,87099
comer,eat,86671
vino,wine,86406
lista,list,86033
haga,make,85884
necesitas,you need,85706
hijos,sons,85020
probablemente,probably,84911
padres,fathers,84855
habitación,room,84704
creer,believe,84624
pensando,thinking,84438
fueron,were,84181
dime,dime,84079
trata,about,83906
buscando,seeking out,83655
tuve,I had,83608
tampoco,either,83595
amo,amo,83156
joven,young man,82919
podrías,could you,82328
sola,lonely,82229
par,about,81901
única,only,81808
hacen,make,81807
seguir,follow,81723
dr.,dr.,81308
simplemente,simply,80350
dicen,They say,80310
medio,medium,80278
puta,hatch,80176
saben,per,79988
sentido,sense,79686
hagas,you do,79398
segura,safe,79393
esperar,expect,79115
lejos,far,79091
arma,weapon,78974
alto,high,78496
pequeña,small,78191
dólares,Dollars,77319
seis,six,77064
estaban,They were,76916
seguridad,security,76807
maldita,nasty,76765
estuvo,he was,76639
preocupes,worry,76606
palabra,word,76589
esperando,waiting,76353
queda,remains,76150
oficina,office,75697
matar,woman,75652
iré,I will go,75521
cama,bed,75441
además,what's more,75259
último,last,75205
oído,ear,75123
habría,there would be,74848
estará,will be,74836
dio,part,74745
recuerdo,memory,74344
siendo,being,74265
acerca,about,74051
tenga,have,73994
luz,light,73886
correcto,Right,73881
ud.,out.,73708
demonios,demons,73485
nuestras,ours,73354
verte,green,73227
dormir,sleep,73064
sitio,place,73036
ayudar,help,72837
conseguir,get,72697
di,from,72555
marido,husband,72210
paz,peace,72000
idiota,idiot,71856
plan,plan,71640
dado,given,71249
cuanto,how much,71197
peor,worse,70692
murió,he died,70466
pueblo,village,70465
vivo,vivo,70329
venido,I come,70151
john,john,69978
basta,it just is,69973
paso,step,69865
deberíamos,we should,69574
música,song,69241
diga,say,68941
minuto,minutes,68878
anoche,last night,68870
llamar,to call,68861
piensa,think,68552
país,country,68539
digas,you say,68227
rey,rey,67803
perdón,sorry,67516
mucha,a lot,67426
falta,lack,67152
pienso,I think,67140
diablos,Devils,67119
perdido,lost,66882
niña,little girl,66672
señorita,Miss,66491
diez,ten,66429
lleva,carries,66407
hospital,hospital,66316
grandes,big ones,66186
maldito,damn you,66025
otras,others,65924
llamado,called,65650
hacemos,we make,65535
llevar,wear,65446
fuego,fire,65442
aqui,here,65202
tuvo,He had,65130
poner,put,64740
calle,street,64675
acaba,ends,64600
prueba,Test,64593
increíble,incredible,64527
real,real,64511
libro,book,64445
orden,order,64437
semanas,weeks,64300
especial,Special,64240
mía,tight,64132
café,café,63914
duro,stand,63800
empezar,start,63463
afuera,outside,63387
queremos,we want,63319
perro,dog,63070
cielo,sky,62981
jack,jack,62965
puesto,Market Stall,62949
viaje,trip,62667
detrás,behind,62621
cuarto,fourth,62590
querida,Honey,62549
haría,would do,62547
preguntas,questions,62505
piensas,You think,62433
querido,Dear,62425
libre,free,62421
buscar,Search,62319
cual,which,62288
diré,I'll say,62193
suena,sounds,62170
jugar,play,62132
cambio,change,62106
película,movie,61985
millones,millions,61876
habrá,there will be,61821
llamada,call,61791
resto,rest,61752
vemos,we see,61545
extraño,weird,61249
mala,she had,61177
presidente,chairman,61090
srta.,Ms.,60636
irme,Go,60622
ropa,clothing,60542
perder,lose,60378
vuelve,Come back,60172
agente,agent,60171
palabras,words,60090
información,information,60090
raro,under,60086
hará,will do,59965
entiendes,You understand,59914
éste,East,59792
trabajando,working,59674
tratando,treating,59643
general,general,59593
trato,deal,59469
usar,to use,59267
perfecto,perfect,59208
derecho,law,59164
modo,way,59041
ayer,Yesterday,59013
conoces,you know,58941
demás,the rest,58811
quieras,You want,58704
podríamos,we could,58548
noticias,news,58530
asesino,assassin,58507
encontrado,found,57581
control,control,57479
odio,hate,57427
frente,front,57371
sexo,sex,57281
decirle,Tell him,57135
estaré,I will be,57085
divertido,funny,56908
armas,weapon,56785
recuerdas,remember,56669
amiga,amiga,56665
grupo,group,56638
asunto,affair,56622
acabo,finished,56586
mensaje,message,56126
encima,over,56110
atención,attention,56092
diferente,different,56028
uh,uh,55996
cállate,shut,55856
daño,damage,55599
sucede,happens,55572
cambiar,change,55360
siguiente,Next,55300
sino,otherwise,55136
the,the,54966
seas,seas,54799
médico,doctor,54547
boca,boca,54512
dejó,let,54435
error,error,54414
jamás,Never,54158
largo,length,53833
pena,feather,53618
voz,voice,53574
futuro,future,53557
siente,Feel,53518
secreto,secret,53504
baño,bath,53455
mil,thousand,53364
decirte,tell you,53207
sam,himself,53082
pensaba,thought,53018
novia,girlfriend,52984
propia,own,52973
sueño,sleep,52956
haz,haz,52344
fuerza,strength,52316
deben,They must,52297
supone,It supposes,52250
estábamos,We were,52003
ambos,both of them,51916
ay,Ay,51890
estuve,was,51592
encontré,I found,51507
vuelto,turned,51505
dolor,pain,51283
dile,language,51271
encanta,loves,51240
edad,age,51163
darle,give him,51120
pie,near,51066
negro,negro,50987
ganar,gain,50970
york,york,50964
aire,air,50788
lamento,am sorry,50766
verlo,see him,50765
asesinato,murder,50759
vio,he saw,50756
adónde,where to,50674
llegado,arrived,50534
disculpe,excuse me,50520
s,s,50469
cita,different,50399
estaría,It would,50270
fuiste,you were,50201
sistema,system,50050
gusto,Want,50039
pobre,poor,50019
negocio,business,49896
mente,mind,49842
tuyo,dry,49799
campo,field,49614
mire,by the time,49575
situación,situating,49426
tras,after,49345
hotel,hotel,49177
vosotros,you,49111
funciona,it works,48956
foto,photo,48915
abogado,attorney,48914
loca,loca,48859
propio,propy,48844
alrededor,around,48767
próxima,next,48701
terminado,finished,48673
hablas,speak,48652
pagar,pay,48636
mató,killed,48583
llamo,called,48473
personal,personal,48419
sientes,you feel,48410
ocurre,occurs,48364
ésta,is,48338
recuerda,remember,48335
mitad,half,48317
quiera,want,48299
pelo,fur,48293
tenías,You had,48183
viste,knew,47962
oficial,official,47960
llegó,I arrive,47852
compañía,company,47842
relación,relationship,47824
conoce,known,47688
pase,pass,47622
montón,lot,47610
mejores,top,47509
creí,I believed,47494
cena,cena,47357
sentir,to feel,47337
través,through,47295
accidente,accident,47117
i,i,46981
ellas,they,46892
caja,cash register,46635
tranquilo,quiet,46587
bonito,pretty,46554
eras,eras,46544
asi,but,46535
pudo,could,46533
vive,live,46462
vista,vista,46461
estúpido,idiot,46441
línea,line,46341
caballeros,gentlemen,46158
haremos,will,46119
dan,and,46063
quédate,stay,46054
tienda,store,45913
comprar,purchase,45899
entendido,it is understood,45877
centro,center,45864
salvo,saved,45755
mes,We,45648
joe,joe,45615
sol,sun,45567
tonto,tonto,45479
hambre,hunger,45455
michael,michael,45411
mesa,mesa,45409
respuesta,response,45345
completamente,completely,45342
david,david,45220
carta,paper,45152
totalmente,totally,45016
imposible,impossible,44898
pruebas,tests,44861
novio,boyfriend,44832
normal,normal,44793
gustan,Gustan,44761
frank,frank,44615
pude,I could,44614
charlie,charlie,44589
traje,it lasts,44234
dirección,address,44229
siete,seven,44169
dijeron,They said,44151
placer,placer,44038
sean,sean,43979
tendrá,will have,43656
barco,boat,43597
blanco,white,43530
tom,tom,43467
profesor,professor,43370
servicio,service,43358
muchacho,young guy,43295
reunión,reunion,43217
dejado,left,43162
ley,law,43043
quisiera,I would like,42974
hubo,there was,42830
george,george,42765
programa,program,42763
carrera,race,42759
cumpleaños,birthday,42596
muchachos,boys,42571
culo,ass,42470
canción,song,42468
hermosa,beautifull,42438
universidad,college,42412
boda,wedding,42403
decirme,Tell me,42378
cualquiera,any,42369
tengas,Have,42271
hacía,towards,42256
estés,be,42240
sala,living room,42122
llevo,wear,42084
decisión,decision,42011
espere,hope,42008
don,don,41978
necesario,necessary,41752
sal,shall,41725
entra,goes into,41706
prisa,rush,41706
carajo,fuck,41656
embargo,embargo,41642
interesante,interesting,41640
tendrás,you will have,41583
escuchar,Scuchar,41472
abuela,grandmother,41377
hicieron,they made,41321
detective,detective,41299
horrible,horrible,41259
suelo,I usually,41247
fotos,Photos,41245
cárcel,jail,41152
acá,here,41151
io,it,41134
mike,mike,41066
siéntate,Sit down,40993
decía,He said,40982
intentando,trying,40706
vámonos,Let's go,40700
maldición,damn,40681
silencio,silence,40675
muerta,dead,40660
capaz,able,40541
salió,he left,40377
club,club,40360
terminar,end up,40338
temo,topic,40288
broma,joke,40281
gobierno,government,40236
prometo,promise,40224
cámara,camera,40045
media,media,39998
terrible,terrible,39993
llamó,I call,39922
regalo,gifts,39903
amable,gentle,39841
dulce,sweet,39818
muertos,dead,39809
querías,You wanted,39797
ataque,attack,39782
das,the,39589
navidad,Christmas,39589
negocios,business,39553
pudiera,could,39528
ocho,eight,39524
avión,airplane,39484
investigación,research,39465
acabó,just,39429
juro,Law,39329
mantener,hold,39327
ejército,army,39290
papel,paper,39262
partes,parts,39255
ten,ten,39243
gracioso,funny,39166
diría,would say,39163
principio,beginning,39155
delante,in front of,38898
teniente,lieutenant,38628
deseo,desire,38627
vayas,go,38593
nave,nave,38459
sale,sale,38407
basura,Waste,38280
vine,vine,38168
contacto,Contact,38028
esposo,husband,38011
tren,train,37976
encontramos,we find,37952
dale,dale,37876
verdadero,real,37844
tuya,yours,37837
alma,alma,37824
hazlo,do it,37804
disculpa,Sorry,37801
junto,together,37794
anda,you,37779
tendré,I will have,37662
matrimonio,marriage,37656
saberlo,know,37540
locura,craziness,37525
oro,air,37500
permiso,permission,37465
director,director,37428
peligro,danger,37415
libertad,freedom,37412
alegro,glad,37403
baja,short,37298
tendremos,we will have,37262
derecha,right,37262
encuentra,find,37241
pies,pies,37222
segunda,Monday,37192
maravilloso,wonderful,37115
espacio,space,37114
rato,mouse,37101
abuelo,grandfather,37062
esperaba,I expected,37031
mirando,looking at,37030
salud,Health,37016
sorpresa,surprise,37012
ninguno,none,37007
miren,Miren,37000
triste,sad,36968
aun,still,36908
pensado,thought,36904
maestro,maestro,36887
según,according to,36882
infierno,hell,36835
podrían,could,36824
tipos,types,36703
tía,aunt,36607
crimen,crime,36579
conocido,known,36564
consejo,tip,36446
ante,in view of,36426
iglesia,church,36300
